route_id,direction_id,time_period,speed_mph,district_name,Shape_Length
B7,0,offpeak,44.38736879,4,95170.8388367408
B7,0,peak,43.54480145,4,95170.8388367408
B7,0,all_day,43.83279949,4,95170.8388367408
B7,1,offpeak,47.33429678,4,95131.8110786325
B7,1,peak,37.00513403,4,95131.8110786325
B7,1,all_day,41.64376714,4,95131.8110786325
D - AM,0,offpeak,15.98871339,4,18962.6005562149
D - AM,0,peak,12.48230794,4,18962.6005562149
D - AM,0,all_day,13.18274396,4,18962.6005562149
6178,1,offpeak,9.08204543,9,20182.4098082935
6178,1,peak,13.82389542,9,20182.4098082935
6178,1,all_day,10.59664638,9,20182.4098082935
6178,0,offpeak,7.13782362,9,3846.10263678194
6178,0,all_day,7.13782362,9,3846.10263678194
802,0,offpeak,28.08725405,7,30475.5439423673
802,0,peak,28.10946428,7,30475.5439423673
802,0,all_day,28.09725933,7,30475.5439423673
802,1,offpeak,30.3947853,7,30491.4178173663
802,1,peak,29.45265079,7,30491.4178173663
802,1,all_day,29.97273884,7,30491.4178173663
153,0,offpeak,15.62913905,2,15329.8418405063
153,0,peak,18.40216152,2,15329.8418405063
153,0,all_day,17.00928597,2,15329.8418405063
153,1,offpeak,22.04055164,2,19422.6310951034
153,1,peak,21.63808215,2,19422.6310951034
153,1,all_day,21.82086352,2,19422.6310951034
9E,0,offpeak,9.82266204,4,11504.272883171
9E,0,peak,10.82068652,4,11504.272883171
9E,0,all_day,10.29754901,4,11504.272883171
3,1,offpeak,16.32069191,6,10508.2185654244
3,1,peak,16.61178358,6,10508.2185654244
3,1,all_day,16.49194627,6,10508.2185654244
17,0,offpeak,48.81185198,6,151323.476819955
17,0,peak,30.15944431,6,151323.476819955
17,0,all_day,44.14169849,6,151323.476819955
801,1,offpeak,24.59953957,7,94332.5098182135
801,1,peak,24.59975481,7,94332.5098182135
801,1,all_day,24.59963757,7,94332.5098182135
801,0,offpeak,24.11509173,7,94356.0796023954
801,0,peak,24.70323389,7,94356.0796023954
801,0,all_day,24.40162555,7,94356.0796023954
3427,1,offpeak,15.11820742,3,15114.0413660575
3427,1,peak,15.57688448,3,15114.0413660575
3427,1,all_day,15.37694434,3,15114.0413660575
3427,0,offpeak,15.1841886,3,15882.8655533887
3427,0,peak,14.5871571,3,15882.8655533887
3427,0,all_day,14.83718026,3,15882.8655533887
562,1,peak,53.28368403,9,87869.8462262213
562,1,all_day,53.28368403,9,87869.8462262213
1886,0,offpeak,16.36619824,2,13819.3937869302
1886,0,peak,20.34949888,2,13819.3937869302
1886,0,all_day,17.870854,2,13819.3937869302
1886,1,offpeak,16.39249708,2,13661.265881683
1886,1,peak,16.92912607,2,13661.265881683
1886,1,all_day,16.74638805,2,13661.265881683
2,1,offpeak,16.43083453,4,8352.74434774627
2,1,peak,16.89473733,4,8352.74434774627
2,1,all_day,16.69686608,4,8352.74434774627
24,1,offpeak,11.02648255,4,6674.3805298547
24,1,peak,12.85344052,4,6674.3805298547
24,1,all_day,11.87007489,4,6674.3805298547
13,0,peak,14.50378629,6,120261.425424114
13,0,all_day,14.50378629,6,120261.425424114
